order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
3,3,CS012,928148,4023800321485,SCHLUCKWERDER,COCONUT FLAKES IN DARK,12/7.05 OZ,57.48,172.44,4.79,7.79,8.29
1,1,CS060,928205,092868062054,SCHLUCKWERDER,MARZIPAN LOAVES IN FOIL,60/1.8 OZ,94.8,94.8,1.58,2.79,3.29
3,3,CS024,928207,092868182073,SCHLUCKWERDER,MARZIPAN LOAVES,24/2.65 OZ,56.4,169.2,2.35,3.99,4.49
2,2,CS015,928220,092868062207,SCHLUCKWERDER,MARZIPAN LOAVES,15/7 OZ,71.85,143.7,4.79,7.79,8.29
2,2,CS006,928250,4023800062500,SCHLUCKWERDER,MARZIPAN LOAVES IN FOIL,6/17.5 OZ,71.94,143.88,11.99,18.89,19.39
2,2,CS030,928283,4023800012833,SCHLUCKWERDER,MARZIPAN POTATOES - GERMAN,30/3.5 OZ,83.7,167.4,2.79,4.69,5.19
1,1,CS012,797340,850060192340,TERRYS,MILK CHOCOLATE WITH,12/5.11 OZ,60.24,60.24,5.02,8.09,8.59
1,1,CS012,797817,850033669916,TERRYS,MILK CHOCOLATE TOFFEE,12/5.11 OZ,60.24,60.24,5.02,8.09,8.59
2,2,CS012,797856,850033669794,TERRYS,MILK CHOCOLATE ORANGE,12/5.11 OZ,60.6,121.2,5.05,8.19,8.69
2,2,CS012,797859,850033669824,TERRYS,DARK CHOCOLATE ORANGE,12/5.11 OZ,60.24,120.48,5.02,8.09,8.59
1,1,CS012,797918,850033669183,TERRYS,Terry's Mint Milk Chocolate,12/5.11 OZ,60.24,60.24,5.02,8.09,8.59
2,2,CS012,390342,039047013421,WALKER,VANILLA SHORTBREAD PURE,12/5.3 OZ,40.68,81.36,3.39,5.59,6.09
2,2,CS012,390813,039047018136,WALKER,SCOTTIE DOGS SHORTBREAD,12/3.9 OZ,40.68,81.36,3.39,5.59,6.09
