order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
1,1,CS024,200243,816095002436,ERIKA'S PANTRY,ADVENT CALENDAR - MODERN,24/1.7 OZ,59.76,59.76,2.49,4.19,4.69
1,1,CS060,200963,816095002726,ERIKA'S PANTRY,TRADITIONAL ADVENT,60/1.7 OZ,149.4,149.4,2.49,4.19,4.69
2,2,CS025,299104,4000433071048,FUNSCH,MARZIPAN JOLANTE LUCKY PIG,25/1.23 OZ,42.25,84.5,1.69,2.99,3.49
1,1,CS025,299373,4000433053730,FUNSCH,MARZIPAN MIXED FRUITS,25/1.76 OZ,79.75,79.75,3.19,5.29,5.79
2,2,CS025,299663,4000433078634,FUNSCH,LUCKY PIG ASSORTMENT,25/1.76 OZ,69.75,139.5,2.79,4.69,5.19
4,4,CS010,217250,787093072502,GOLDKENN,JACK DANIELS CHOCOLATE BAR,10/3.5 OZ,62.9,251.6,6.29,10.09,10.59
1,1,CS007,200252,4006446002529,HEIDEL,CHRISTMAS ANGELS MOON TIN,7/3 OZ,59.43,59.43,8.49,13.49,13.99
1,1,CS009,200289,4006446002895,HEIDEL,NOSTALGIC SANTA GIFT TIN,9/3 OZ,71.91,71.91,7.99,12.69,13.19
1,1,CS008,200290,4006446002901,HEIDEL,CHRISTMAS BOOT TIN,8/3.4 OZ,66.32,66.32,8.29,13.19,13.69
2,2,CS006,525045,052594000454,KUCHEN MEISTER,CHRISTSTOLLEN BOX LARGE,6/26.4 OZ,47.94,95.88,7.99,12.69,13.19
4,4,CS006,525061,052594000614,KUCHEN MEISTER,MARZIPAN STOLLEN BOX MED,6/17.6 OZ,40.74,162.96,6.79,10.89,11.39
4,4,CS006,525065,052594000652,KUCHEN MEISTER,MARZIPAN STOLLEN BOX LARGE,6/26.4 OZ,50.94,203.76,8.49,13.49,13.99
3,3,CS006,525120,897579001206,KUCHEN MEISTER,CHRISTSTOLLEN BOX MED,6/17.6 OZ,39.54,118.62,6.59,10.59,11.09
4,4,CS010,525125,052594001253,KUCHEN MEISTER,CHRISTSTOLLEN CELLO MED,10/17.6 OZ,53.9,215.6,5.39,8.69,9.19
2,2,CS006,525126,052594001260,KUCHEN MEISTER,CHRISTSTOLLEN CELLO LARGE,6/26.4 OZ,44.34,88.68,7.39,11.79,12.29
4,4,CS006,525129,052594001291,KUCHEN MEISTER,MARZIPAN STOLLEN CELLO,6/26.4 OZ,47.34,189.36,7.89,12.59,13.09
4,4,CS010,525130,897579001305,KUCHEN MEISTER,MARZIPAN STOLLEN CELLO MED10/17.6,10/17.6 OZ,53.9,215.6,5.39,8.69,9.19
3,3,CS013,525132,4101540717031,KUCHEN MEISTER,MARZIPAN STOLLEN BITES,13/12.34 OZ,64.87,194.61,4.99,8.09,8.59
2,2,CS010,525139,897579001398,KUCHEN MEISTER,ORANGE STOLLEN MED CELLO,10/17.6 OZ,53.9,107.8,5.39,8.69,9.19
1,1,CS014,525205,4101540712050,KUCHEN MEISTER,Baumkuchen Spitzen Jamaica,14/5.29 OZ,83.86,83.86,5.99,9.59,10.09
1,1,CS014,525206,4101540712067,KUCHEN MEISTER,Baumkuchen Spitzen Irish,14/5.29 OZ,83.86,83.86,5.99,9.59,10.09
3,3,CS013,525874,4101540718748,KUCHEN MEISTER,Stollen Bites 20% Baked Apple,13/10.58 OZ,64.87,194.61,4.99,8.09,8.59
5,5,CS010,235070,4035600926883,KUECHLE,BAKING WAFERS RND 70MM,10/1.27 OZ,21.9,109.5,2.19,3.79,4.29
